match_key,match_number,difference,error_value,red_difference,blue_difference,score_sd,merged_red_total,merged_blue_total,red_win_odds,blue_win_odds,score_sd_red,score_sd_blue
2026orwil_qm30,30,0.669,26.569499999999998,0.022,1.316,93.78,70.022,325.316,0.01949988727980901,0.980500112720191,1.828699429100489,91.95130057089952
2026orwil_qm31,31,18.185,18.317999999999998,0.04,36.33,93.78,364.04,68.67,0.9893621980535829,0.010637801946417058,92.782386933465,0.9976130665349917
2026orwil_qm32,32,12.114999999999998,234.517,2.67,21.56,93.78,38.67,100.44,0.2793071008291719,0.7206928991708281,26.193419915759737,67.58658008424027
2026orwil_qm33,33,26.9455,45.1305,34.961,18.93,93.78,248.039,111.07,0.8910856977545443,0.10891430224545573,83.56601673542116,10.213983264578838
2026orwil_qm34,34,29.5355,137.69150000000002,23.618,35.453,93.78,49.382,213.453,0.07462128849037661,0.9253787115096234,6.997984434627519,86.78201556537248
2026orwil_qm35,35,2.8145000000000002,110.16900000000001,5.548,0.081,93.78,144.452,208.081,0.2736009644752508,0.7263990355247492,25.65829844848902,68.12170155151098
2026orwil_qm36,36,0.076,77.9285,0.03,0.122,93.78,26.97,120.122,0.19317993572027448,0.8068200642797255,18.11641437184734,75.66358562815266
2026orwil_qm37,37,24.087999999999997,118.3515,13.269,34.907,93.78,279.269,119.093,0.9211449393715574,0.07885506062844261,86.38497241426465,7.395027585735348
2026orwil_qm38,38,0.761,2.3609999999999998,1.45,0.072,93.78,71.55,337.928,0.016500193480560508,0.9834998065194395,1.5473881446069644,92.23261185539303
2026orwil_qm39,39,13.4805,203.433,24.921,2.04,93.78,31.079,80.96,0.31746273158848554,0.6825372684115145,29.771654968368175,64.00834503163183
2026orwil_qm40,40,0.038,28.285000000000004,0.066,0.01,93.78,180.066,17.01,0.9242960019302489,0.07570399806975114,86.68047906101874,7.099520938981263
2026orwil_qm41,41,24.560499999999998,37.058,19.221,29.9,93.78,308.779,118.1,0.9491214076195559,0.05087859238044412,89.00860560656196,4.77139439343805
2026orwil_qm42,42,12.8465,65.9125,25.658,0.035,93.78,206.342,182.965,0.5887342795307938,0.4112657204692062,55.211500734397845,38.568499265602156
2026orwil_qm43,43,0.0025,79.106,0.001,0.004,93.78,32.999,92.004,0.28792761225963737,0.7120723877403626,27.001851477708794,66.7781485222912
2026orwil_qm44,44,28.997500000000002,266.807,18.605,39.39,93.78,132.395,98.61,0.6267859574076488,0.37321404259235125,58.7799870856893,35.0000129143107
2026orwil_qm45,45,0.003,14.901,0.002,0.004,93.78,95.002,244.996,0.09097759887814244,0.9090224011218575,8.531879222792199,85.2481207772078
2026orwil_qm46,46,0.0015,76.2615,0.0,0.003,93.78,38.0,93.003,0.300680989085264,0.699319010914736,28.197863156416062,65.58213684358394
2026orwil_qm47,47,3.8855,60.335499999999996,7.77,0.001,93.78,54.23,256.001,0.04325978305829819,0.9567402169417019,4.056902455207204,89.72309754479281
2026orwil_qm48,48,66.712,277.574,0.086,133.338,93.78,78.914,234.338,0.0843172614416467,0.9156827385583532,7.907272777997627,85.87272722200237
2026orwil_qm49,49,0.007,44.608000000000004,0.002,0.012,93.78,210.002,161.988,0.6762971006427052,0.3237028993572948,63.4231420982729,30.356857901727107
2026orwil_qm50,50,19.667,117.011,18.672,20.662,93.78,123.672,74.338,0.6807156587593782,0.31928434124062177,63.837514478454494,29.94248552154551
2026orwil_qm51,51,6.7775,100.122,13.555,0.0,93.78,178.555,100.0,0.7694978661249275,0.23050213387507246,72.16350988519571,21.616490114804296
2026orwil_qm52,52,10.357000000000001,110.179,20.713,0.001,93.78,215.713,102.999,0.8493702491183492,0.15062975088165076,79.6539419623188,14.126058037681208
2026orwil_qm53,53,25.3185,207.9195,38.045,12.592,93.78,50.955,108.408,0.29283514405740646,0.7071648559425936,27.462079809703578,66.31792019029643
2026orwil_qm54,54,96.0355,168.688,48.335,143.736,93.78,30.665,281.736,0.020778290480755513,0.9792217095192445,1.948588081285252,91.83141191871475
2026orwil_qm55,55,4.6395,71.0235,9.278,0.001,93.78,132.278,109.999,0.5846485541134329,0.41535144588656714,54.82834140475774,38.951658595242264
2026orwil_qm56,56,22.014,117.973,17.677,26.351,93.78,127.677,64.649,0.7245622539634557,0.27543774603654425,67.94944817669288,25.830551823307122
2026orwil_qm57,57,70.1845,132.164,122.148,18.221,93.78,314.148,120.779,0.951078251292396,0.04892174870760402,89.19211840620089,4.587881593799104
2026orwil_qm58,58,37.203,197.256,73.522,0.884,93.78,124.478,74.116,0.6841344818244414,0.31586551817555863,64.15813170549612,29.62186829450389
2026orwil_qm59,59,63.5975,138.128,16.29,110.905,93.78,46.71,228.905,0.05754603067599295,0.942453969324007,5.396666756794619,88.38333324320539
2026orwil_qm60,60,7.979500000000001,55.462500000000006,15.957,0.002,93.78,178.043,104.998,0.7541599745383842,0.24584002546161576,70.72512241220967,23.054877587790326
2026orwil_qm61,61,0.016,93.02799999999999,0.002,0.03,93.78,108.998,213.03,0.16847985255141468,0.8315201474485854,15.80004057227167,77.97995942772833
2026orwil_qm62,62,0.0075,57.8505,0.002,0.013,93.78,230.002,131.987,0.8181858558548729,0.1818141441451271,76.72946956206998,17.050530437930018
2026orwil_qm63,63,5.0055,103.311,10.008,0.003,93.78,149.008,44.997,0.8314749959759782,0.16852500402402182,77.97572512262724,15.804274877372766
